Player Input,NPC Response
Tekla,Keep your voice steady around nobles
who is ysgramor,"The first great Nord king, who led the Five Hundred Companions."
thrust,Harder.
Do elves really last longer?,"Only one way to find out, isn’t there?"
Jyggalag,Embrace order and see through the chaos
"Damn, you still here","Yeah, and I ain’t leaving"
I feel like I should be doing more,Don’t measure yourself by others—your pace is your own
I have way too much on my plate,Then maybe it’s time to scrape some of it off
Brynjolf,"The road to Markarth is west, follow the river and ascend the cliffs to reach the city"
neravarine,Neravarine does not forgive trespassers.
Vaermina’s Torpor,"Potion of sleep, or door to the past?"
auriel,Auriel was written in fire and shadow.
is there a war,there is always a war somewhere
Where can I find the lost crown?,"It’s in the crypt, guarded by the spirits of the past kings."
are you evil,some would say yes others would say no
Shivering Isles,"Realm of madness, or crown of paradox?"
Winterhold Hold,"Broken by sea, or held by will?"
apocrypha,What did it cost to silence apocrypha?
How are you?,"I'm well, thank you. And you?"
chitin,"Armor of insects, or pride of Ashlanders?"
leyawiin,What did it cost to silence leyawiin?
Ever been with someone out of your league?,Once. It was amazing. Never saw them again.
yo yo,Yo yo! What can I do for you?
Briarheart,"Heart of the forest, or cursed warrior?"
Sigrun,"The Dragonborn’s deeds speak for themselves. From dragons to the dark brotherhood, they’ve done it all."
I swear you annoying,"And yet, you won’t leave"
giant,"Tall, strong, and best left alone."
murkmire,Could you survive the trials of murkmire?
Thrain,"The battle may be over, but the scars remain"
Kara,"The path to Markarth lies west, follow the river and climb the cliffs to reach the stone city"
been a while,"Yes, time has passed. What do you need?"
Mortar,"Stone of grind, or cradle of mix?"
Throat of the World,Here the wind carries the voice of time
boethiah,Boethiah does not forgive trespassers.
who is the jarl of dawnstar,"A troubled ruler, haunted by nightmares."
Jorik,"For the road to Winterhold, follow the frozen trail northeast and across the great frozen sea"
Tell me about the Stones of Barenziah,Scattered gems of great worth—only when all are found do they reveal their power
senchal,Could you survive the trials of senchal?
Mikael,"Bard of charm, or mirror of vanity?"
stormcloak,Would you dare speak the name of stormcloak aloud?
ghostfence,Ghostfence does not forgive trespassers.
do you like the seekers,Seekers are powerful spellcasters. They are best avoided.
Dangerous,I prefer the term ‘prepared’
Hendrik,Every warrior must learn to control his rage
neravarine,Not even time forgets the horrors of neravarine.
The Gildergreen,"Tree of life, or root of grief?"
Soul Trap,"Binding of essence, or theft of self?"
Witch Heads,"Cleansers of curse, or trophies of guilt?"
What should I do with this enchanted crystal?,Take it to the shrine of the moon. It will amplify its power.
How do I fight when surrounded by traps?,"When surrounded by traps, use your surroundings to your advantage. If you can lure your enemy into them, they’ll take the damage, not you."
What’s the best part of a forbidden romance?,"The risk. The secrecy. The fact that you really, really shouldn’t be doing it."
Crimson Nirnroot,"Bloody warning, or scar of change?"
auriel,"Some worship auriel, others curse its name."
neravarine,Not even time forgets the horrors of neravarine.
Shor,"God of the dead, or warrior divine?"
hows your day been,It’s been good. What about you?
island,"Solitude, or a prison."
Ansei,"Sword saints, or martyrs of order?"
whats the time,Time is but a fleeting concept in Skyrim. What matters is the adventure ahead.
I just want a quiet place to think,Good luck with that—peace and quiet are rare these days
What is the Mages Guild?,The Mages Guild was a powerful institution that regulated magic across Tamriel.
who is the boss of this place,"The Jarl, unless you're asking about someone more dangerous."
Saadia,"Fugitive of sand, or tale of betrayal?"
Freja,"A true warrior fights not for glory, but for those they protect"
What do I do with the cursed crystal?,Take it to the priest in the temple. He can remove its curse.
buy,Not sure I have anything to sell.
home,Place or people?
I should probably start eating healthier,"Eh, life’s short—just balance it out with something green every now and then"
How do I defeat the vampire lord?,Use silver and sunlight to weaken him. Then strike while he’s vulnerable.
Lydia,"To find Solitude, follow the road west, across the plains and past the cliffs"
whats the best part of a forbidden romance,the risk the secrecy the fact that you really shouldn’t be doing it
where am i,you are where you need to be
Rahgot’s Cult,"Fanatics of war, or believers of doom?"
Can I kill essential NPCs,"Nope, they’re built different"
sleep,You should find an inn.
soul cairn,Sithis does not forgive trespassers.
Hungry,There’s a tavern nearby—if you’ve got coin
eye of magnus,Who writes the fate of eye of magnus?
Where can I find the hidden treasure chest?,"It’s in the abandoned lighthouse, under the floorboards."
Whats the aim,The aim is to assist you. What’s on your mind?
Solstheim,"Island of ash, or place of exile?"
Lord Harkon,Bow before me or be crushed beneath my heel
thane,Title of honor or empty words?
Heart Stone,"Rock of soul, or curse in crystal?"
Why you acting tough,Why you acting like you matter
Pestle,"Crush of purpose, or tool of secrets?"
You talk too much,And you listen too little
do you like the trolls,Trolls are dangerous and unpredictable. They are best avoided.
Vilkas,"Blade of tradition, or mind of doubt?"
Spriggan,Nature defends with root and wrath
bosmer hunt,"Honor in bone, or savagery bound by pact?"
Who is Sheogorath?,The Daedric Prince of Madness—best not to think too hard about him.
black marsh,Swamp of beasts or cradle of forgotten wisdom?
Galmar,"If you seek Solitude, follow the road west, cross the cliffs, and the city’s towering gates will appear"
Shout,"Voice of power, or curse of the Dragonborn?"
Chim-el Adabal,"Red diamond, or heart of empire?"
Work,"Same old, same old"
skyrim,Skyrim... it echoes through history.
ship,You’ll need one to leave Skyrim.
Where is the hidden city?,"It’s deep in the jungle, behind the waterfall. You’ll need a map to get there."
What should I do with the magical ring?,Take it to the wizard in the tower. He will unlock its true power.
good morning,"A fine morning to you, adventurer."
dibella,"Is beauty divine, or divinity beautiful?"
You got a problem,"Not yet, but keep talking"
who gives the hardest quest,"The Ebony Warrior, if you're strong enough."
where is markarth,"A city of stone, ruled by gold."
Morthal,"Desolate town, or cursed place?"
Witch,"Speaker of wilds, or curse in flesh?"
Storn Crag-Strider,"Shaman of balance, or martyr of fate?"
Night Mother,"Whisperer of murder, or matron of dark?"
Where is the altar of sacrifice,"In the cavern beneath the red cliffs, marked with old blood"
Labyrinthian,"Maze of magic, or grave of mages?"
nibenay,What did it cost to silence nibenay?
Hammerfell,"Land of sun, or realm of survival?"
who am i,"That is for you to decide, Dragonborn."
arcane,"Knowledge few understand, and fewer master."
How do I fight when overwhelmed?,"Focus on dodging, and whittle them down one at a time."
trader,"Bringing goods, bringing stories."
who is stendarr,The god of mercy and justice.
Lever,"Choice made, or trick played?"
tiber septim,The winds still carry the screams from tiber septim.
You ain't special,Yet you're still talking to me
You looking for a fight,Might be. You volunteering?
How do I fight against a shielded enemy?,"A shielded enemy is tough, but if you can disarm them or break their guard with a heavy attack, you’ll get a chance to land a decisive blow."
valenwood,"Jungle of life, or prison of roots?"
Moth Priests,"Readers of destiny, or slaves of script?"
Astrid,"The sanctuary lies beyond the hills to the south, follow the path that winds through the shadows"
whats the deal,"The deal is, I’m here to help."
psijic order,Could you survive the trials of psijic order?
Housecarl,"Loyal guardian, or sword on a leash?"
Tell me about the Elder Scrolls,"Mystical artifacts that reveal the past and future, but at great cost to those who read them"
What’s the freakiest thing someone’s asked you to do?,A noble once asked me to dress up as a Daedra. Don’t ask.
Long time no see,"Indeed, it has been a while. What brings you back?"
rimmen,Rimmen does not forgive trespassers.
whats your favorite place,"I have always been fond of Whiterun. The plains are peaceful, and the people are kind."
Moonshadow,"Land of beauty, or veil of lies?"
goodbye,"Farewell, traveler. Safe journeys."
Where can I find the moonstone,"Deep in the caverns of Hollowshade, behind a sealed gate only magic can open"
soul cairn,Soul Cairn does not forgive trespassers.
Why do I keep dying,"Might be a skill issue, not gonna lie"
Bjorn,"Do not fear the storm, for it is what forges the greatest warriors"
How do I solve the puzzle in the ruins?,Look for the ancient symbols on the walls. They’ll guide you to the solution.
who rules here,"The Jarl of this hold, for now."
Briarhearts,"Warriors reborn, or puppets of ritual?"
